inertia,acc_coef_1,acc_coef_2,swarm_size,num_iters,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
0.5,0.95,2.2,150,50,rastrigin,3,0.0,6.08444e-06,0.0,0.330447,1.06151
0.5,1.05,2.2,150,50,rastrigin,3,0.0,1.00136e-06,0.0,0.204015,0.825168
0.5,1.35,2.2,150,50,rastrigin,3,0.0,9.36985e-06,1.90735e-06,0.164366,1.17703
0.5,0.75,2.15,150,50,rastrigin,3,0.0,0.00300612,0.0,0.442069,1.06131
0.5,0.9,2.15,150,50,rastrigin,3,0.0,2.97546e-06,0.0,0.373515,0.79419
0.5,0.8,2.1,150,50,rastrigin,3,0.0,0.0125484,0.0,0.423679,1.06917
0.5,0.9,2.1,150,50,rastrigin,3,0.0,1.43766e-05,0.0,0.380744,0.790814
0.5,0.95,2.1,150,50,rastrigin,3,0.0,6.26564e-06,0.0,0.341837,1.08591
0.5,1.75,2.1,150,50,rastrigin,3,0.0,5.95283e-05,2.09808e-05,0.147593,1.15667
0.5,0.9,2.05,150,50,rastrigin,3,0.0,3.46661e-06,0.0,0.408965,0.805782
0.5,1.0,2.05,150,50,rastrigin,3,0.0,2.24113e-07,0.0,0.281818,0.794591
0.5,2.5,2.05,150,50,rastrigin,3,1.90735e-06,0.0426246,0.0183887,0.393001,1.17564
0.5,0.95,2.0,150,50,rastrigin,3,0.0,6.91891e-06,0.0,0.383977,1.04016
0.5,1.0,2.0,150,50,rastrigin,3,0.0,4.2057e-06,0.0,0.344926,0.801416
0.5,1.35,2.0,150,50,rastrigin,3,0.0,2.04086e-06,0.0,0.175288,1.09978
0.5,1.5,2.0,150,50,rastrigin,3,0.0,4.0102e-06,0.0,0.170291,0.97587
0.5,0.95,1.95,150,50,rastrigin,3,0.0,2.88343e-05,0.0,0.385625,1.0671
0.5,1.0,1.95,150,50,rastrigin,3,0.0,3.62396e-07,0.0,0.34185,0.815025
0.5,0.9,1.9,150,50,rastrigin,3,0.0,0.0254867,0.0,0.435978,0.887155
0.5,1.0,1.9,150,50,rastrigin,3,0.0,1.4472e-05,0.0,0.373916,0.883369
0.5,1.05,1.9,150,50,rastrigin,3,0.0,2.92778e-06,0.0,0.352369,0.788102
0.5,0.9,1.85,150,50,rastrigin,3,0.0,7.09629e-05,0.0,0.440695,0.785223
0.5,0.95,1.85,150,50,rastrigin,3,0.0,0.010318,0.0,0.430295,1.03977
0.5,1.0,1.85,150,50,rastrigin,3,0.0,2.67029e-06,0.0,0.377181,0.805695
0.5,1.05,1.85,150,50,rastrigin,3,0.0,4.12464e-06,0.0,0.334517,0.795178
0.5,2.15,1.85,150,50,rastrigin,3,0.0,0.000151501,4.57764e-05,0.14611,1.12232
0.5,1.05,1.8,150,50,rastrigin,3,0.0,7.15256e-07,0.0,0.349415,0.78504
0.5,1.55,1.8,150,50,rastrigin,3,0.0,2.20776e-06,0.0,0.175199,0.990251
0.5,1.0,1.75,150,50,rastrigin,3,0.0,5.15938e-06,0.0,0.395782,0.802107
0.5,1.05,1.75,150,50,rastrigin,3,0.0,1.3175e-05,0.0,0.397556,0.790704
0.5,2.25,1.75,150,50,rastrigin,3,0.0,0.000138741,3.62396e-05,0.122229,1.10655
0.5,1.05,1.7,150,50,rastrigin,3,0.0,2.44761e-05,0.0,0.40678,0.757417
0.5,2.45,1.7,150,50,rastrigin,3,0.0,0.000634184,0.000199318,0.194946,0.902509
0.5,1.0,1.65,150,50,rastrigin,3,0.0,0.0280339,0.0,0.448357,0.759482
0.5,1.05,1.65,150,50,rastrigin,3,0.0,1.55926e-06,0.0,0.377285,0.763917
0.5,2.1,1.65,150,50,rastrigin,3,0.0,1.61219e-05,3.8147e-06,0.124936,1.00842
0.5,1.0,1.6,150,50,rastrigin,3,0.0,2.72131e-05,0.0,0.427968,0.822442
0.5,1.05,1.6,150,50,rastrigin,3,0.0,6.25086e-05,0.0,0.40481,0.801554
0.5,1.95,1.6,150,50,rastrigin,3,0.0,3.35217e-06,0.0,0.152652,0.843166
0.5,2.4,1.6,150,50,rastrigin,3,0.0,0.000145249,4.95911e-05,0.133582,1.00512
0.5,0.95,1.55,150,50,rastrigin,3,0.0,0.0125946,0.0,0.441249,1.00789
0.5,1.0,1.55,150,50,rastrigin,3,0.0,0.0226108,0.0,0.485728,0.793098
0.5,0.95,1.5,150,50,rastrigin,3,0.0,0.109846,0.0,0.514329,1.06504
0.5,2.85,1.5,150,50,rastrigin,3,0.0,0.00350226,0.00122738,0.257217,1.15895
