teaching_factor,outstanding_percentage,n_leaders,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
0.500000,0.214286,3,450,150,rosenbrock,6,0.000000,0.213187,0.000000,1.686575,106.485350
0.500000,0.285714,3,450,150,rosenbrock,6,0.000000,0.000004,0.000000,1.351119,136.357310
0.500000,0.357143,3,450,150,rosenbrock,6,0.000000,0.049817,0.000000,1.618600,118.856560
0.500000,0.428571,3,450,150,rosenbrock,6,0.000000,0.000000,0.000000,1.558980,113.719110
0.500000,0.500000,3,450,150,rosenbrock,6,0.000000,0.248371,0.000000,1.720767,122.290190
0.500000,0.571429,3,450,150,rosenbrock,6,0.000000,0.099348,0.000000,1.646190,120.560840
0.500000,0.642857,3,450,150,rosenbrock,6,0.000000,0.198697,0.000000,1.697203,124.401590
0.500000,0.714286,3,450,150,rosenbrock,6,0.000000,0.049674,0.000000,1.618618,173.982080
0.500000,0.785714,3,450,150,rosenbrock,6,0.000000,0.000000,0.000000,1.456870,116.654590
0.500000,0.857143,3,450,150,rosenbrock,6,0.000000,0.000000,0.000000,1.526738,124.936290
0.500000,0.928571,3,450,150,rosenbrock,6,0.000000,0.000000,0.000000,1.492742,124.241900
0.500000,1.000000,3,450,150,rosenbrock,6,0.000000,0.123400,0.120311,0.761496,119.863730
0.642857,0.000000,3,450,150,rosenbrock,6,0.000000,1.363356,1.441998,8.611903,102.469040
0.642857,0.071429,3,450,150,rosenbrock,6,0.000000,0.598908,0.153290,1.969086,103.674770
0.642857,0.142857,3,450,150,rosenbrock,6,0.000000,0.549983,0.079643,3.960048,106.663770
0.642857,0.214286,3,450,150,rosenbrock,6,0.000000,0.133535,0.000003,1.676176,107.855990
0.642857,0.285714,3,450,150,rosenbrock,6,0.000000,0.171540,0.000000,1.676831,107.136970
0.642857,0.357143,3,450,150,rosenbrock,6,0.000000,0.198947,0.000000,1.697091,108.747250
0.642857,0.428571,3,450,150,rosenbrock,6,0.000000,0.198810,0.000000,1.697152,109.480150
0.642857,0.500000,3,450,150,rosenbrock,6,0.000000,0.049674,0.000000,1.618618,112.426400
0.642857,0.571429,3,450,150,rosenbrock,6,0.000000,0.099348,0.000000,1.646190,112.933280
0.642857,0.642857,3,450,150,rosenbrock,6,0.000000,0.198697,0.000000,1.697203,113.246030
0.642857,0.714286,3,450,150,rosenbrock,6,0.000000,0.149023,0.000000,1.672363,116.307190
0.642857,0.785714,3,450,150,rosenbrock,6,0.000000,0.347720,0.000000,1.764269,114.937920
0.642857,0.857143,3,450,150,rosenbrock,6,0.000000,0.347720,0.000000,1.764269,117.449930
0.642857,0.928571,3,450,150,rosenbrock,6,0.000000,0.198697,0.000000,1.697203,117.828710
0.642857,1.000000,3,450,150,rosenbrock,6,0.000000,0.150392,0.138646,0.868284,118.251590
0.785714,0.000000,3,450,150,rosenbrock,6,0.000000,1.546620,1.806546,12.249293,101.897780
0.785714,0.071429,3,450,150,rosenbrock,6,0.000000,1.000391,0.350915,2.027780,104.043080
0.785714,0.142857,3,450,150,rosenbrock,6,0.000000,0.598657,0.018946,10.669594,105.952340
0.785714,0.214286,3,450,150,rosenbrock,6,0.000000,0.081873,0.000000,1.535168,107.850070
0.785714,0.285714,3,450,150,rosenbrock,6,0.000000,0.603734,0.000000,1.850901,116.548170
0.785714,0.357143,3,450,150,rosenbrock,6,0.000000,0.198698,0.000000,1.697202,104.929330
0.785714,0.428571,3,450,150,rosenbrock,6,0.000000,0.099349,0.000000,1.646190,103.489960
0.785714,0.500000,3,450,150,rosenbrock,6,0.000000,0.000000,0.000000,1.558980,105.408320
0.785714,0.571429,3,450,150,rosenbrock,6,0.000000,0.000000,0.000000,1.558980,107.824950
0.785714,0.642857,3,450,150,rosenbrock,6,0.000000,0.248371,0.000000,1.720767,109.096560
0.785714,0.714286,3,450,150,rosenbrock,6,0.000000,0.000000,0.000000,1.378906,108.433800
0.785714,0.785714,3,450,150,rosenbrock,6,0.000000,0.000000,0.000000,1.456870,109.835400
0.785714,0.857143,3,450,150,rosenbrock,6,0.000000,0.049674,0.000000,1.618618,110.489120
0.785714,0.928571,3,450,150,rosenbrock,6,0.000000,0.053656,0.000000,1.617286,111.804760
0.785714,1.000000,3,450,150,rosenbrock,6,0.000000,0.052448,0.016462,1.361826,112.584900
0.928571,0.000000,3,450,150,rosenbrock,6,0.000000,1.500630,1.372894,13.594212,97.143830
0.928571,0.071429,3,450,150,rosenbrock,6,0.000000,0.856852,0.329246,2.380261,97.536090
0.928571,0.142857,3,450,150,rosenbrock,6,0.000000,0.298153,0.043762,1.664830,98.776920
0.928571,0.214286,3,450,150,rosenbrock,6,0.000000,0.222978,0.000000,1.725971,99.733720
