selection,limit,mutation_dims,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
tournament 3,100,1,100,50,rastrigin,3,1.547659,4.446414,5.116696,3.359440,0.837370
tournament 3,85,2,100,50,rastrigin,3,1.174971,4.979649,5.516589,3.073246,0.845155
tournament 3,95,1,100,50,rastrigin,3,1.051121,4.522224,5.425500,2.868135,1.002870
tournament 3,90,1,100,50,rastrigin,3,1.017653,3.877241,4.738770,2.388739,1.089205
tournament 3,90,3,100,50,rastrigin,3,1.259956,3.825880,4.295501,1.959494,1.122965
tournament 3,105,1,100,50,rastrigin,3,1.601624,5.137450,6.099170,2.657442,0.949300
tournament 3,100,2,100,50,rastrigin,3,2.322409,5.169974,5.727405,2.421520,1.019335
tournament 3,110,2,100,50,rastrigin,3,0.498945,4.410232,5.471906,1.922654,0.984075
tournament 3,110,1,100,50,rastrigin,3,1.042267,4.265177,4.748734,2.755699,1.000785
tournament 3,80,3,100,50,rastrigin,3,1.451612,4.093796,5.201370,2.123083,1.519030
tournament 3,95,3,100,50,rastrigin,3,1.044880,4.797316,6.603887,2.746857,1.130490
tournament 3,90,2,100,50,rastrigin,3,0.006058,3.303072,4.122856,2.120764,1.268085
tournament 3,110,3,100,50,rastrigin,3,2.096474,3.713148,4.356449,1.864698,0.910775
tournament 3,105,2,100,50,rastrigin,3,2.003487,4.055980,4.151585,2.671735,1.178595
tournament 3,115,2,100,50,rastrigin,3,2.015514,4.415923,5.221534,2.267592,0.848550
tournament 3,105,3,100,50,rastrigin,3,1.310364,3.634077,3.888098,2.349238,1.189335
tournament 3,115,1,100,50,rastrigin,3,2.215054,4.613377,5.302930,2.739069,1.002565
tournament 3,125,2,100,50,rastrigin,3,0.290861,5.036084,5.876794,2.605181,0.822580
tournament 3,120,3,100,50,rastrigin,3,1.209970,4.910863,6.102036,3.148939,0.879220
tournament 3,115,3,100,50,rastrigin,3,1.866020,5.845562,7.267532,3.203103,1.049575
tournament 3,125,1,100,50,rastrigin,3,1.665421,4.937853,5.524845,2.822018,0.950695
tournament 3,130,1,100,50,rastrigin,3,0.124750,4.141513,5.118347,2.281210,0.862505
tournament 3,120,2,100,50,rastrigin,3,1.572588,4.176206,5.143195,2.703952,1.134265
tournament 3,130,3,100,50,rastrigin,3,1.744177,4.457302,5.315334,2.384587,0.949205
tournament 3,135,1,100,50,rastrigin,3,1.655350,4.947405,5.732327,2.909891,1.005645
tournament 3,125,3,100,50,rastrigin,3,0.233742,5.839455,7.453020,3.317465,1.213980
tournament 3,120,1,100,50,rastrigin,3,2.517973,5.102148,5.732849,2.261984,1.029665
tournament 3,140,2,100,50,rastrigin,3,1.010700,3.664693,4.241329,2.214976,0.915685
tournament 3,130,2,100,50,rastrigin,3,2.771826,5.437787,6.536944,2.506621,1.108985
tournament 3,140,1,100,50,rastrigin,3,1.003201,4.424014,5.528235,2.972010,1.091370
tournament 3,145,2,100,50,rastrigin,3,2.485519,5.523360,6.161774,1.984766,0.885705
tournament 3,135,2,100,50,rastrigin,3,2.082808,5.129662,5.526287,2.389123,1.852745
tournament 3,160,3,100,50,rastrigin,3,0.820347,4.072939,4.313321,3.228285,1.329115
tournament 3,150,2,100,50,rastrigin,3,2.003571,4.898787,5.221138,3.036870,0.804560
tournament 3,135,3,100,50,rastrigin,3,0.377895,4.774498,6.417983,3.286354,1.902780
tournament 3,140,3,100,50,rastrigin,3,1.331886,4.254023,4.753543,2.720320,1.644375
tournament 3,155,1,100,50,rastrigin,3,1.038456,4.607879,5.672355,2.519182,0.775515
tournament 3,145,3,100,50,rastrigin,3,0.328079,3.925978,5.596145,3.278639,1.554200
tournament 3,150,1,100,50,rastrigin,3,1.164707,4.205818,4.821083,2.841177,1.117625
tournament 3,150,3,100,50,rastrigin,3,0.075382,3.662274,4.620640,3.295888,1.055745
tournament 3,155,2,100,50,rastrigin,3,1.166771,4.065445,4.562819,2.454346,1.025630
tournament 3,155,3,100,50,rastrigin,3,0.178116,3.554686,4.174165,2.940560,1.227855
tournament 3,160,2,100,50,rastrigin,3,1.562977,4.820933,5.425154,3.065228,1.062520
tournament 3,145,1,100,50,rastrigin,3,2.002239,4.832905,5.968054,1.999655,1.014065
tournament 3,165,1,100,50,rastrigin,3,1.082157,4.712927,5.254537,2.313004,0.998125
tournament 3,170,1,100,50,rastrigin,3,1.164259,4.552123,5.045101,2.896505,1.000000
tournament 3,165,2,100,50,rastrigin,3,1.000854,5.268514,6.376332,2.838999,1.108250
tournament 3,165,3,100,50,rastrigin,3,0.237747,4.917351,5.792175,2.986320,1.184775
tournament 3,170,2,100,50,rastrigin,3,0.130693,4.311080,5.445428,3.774002,1.028945
tournament 3,160,1,100,50,rastrigin,3,1.292212,4.424249,5.585738,2.857161,1.669440
tournament 3,175,1,100,50,rastrigin,3,0.512552,3.870407,4.956575,2.365870,1.178625
tournament 3,170,3,100,50,rastrigin,3,1.012291,4.214936,5.112933,2.715756,1.271560
tournament 3,175,2,100,50,rastrigin,3,0.177082,4.495613,5.072954,2.991831,1.196725
tournament 3,175,3,100,50,rastrigin,3,1.665924,4.907792,5.877019,2.677948,1.444965
tournament 3,180,2,100,50,rastrigin,3,1.166765,5.151979,6.492277,2.581754,0.804355
tournament 3,180,1,100,50,rastrigin,3,1.025696,4.264822,5.379961,2.808511,1.138575
tournament 3,185,1,100,50,rastrigin,3,1.102358,4.058605,4.925033,2.739225,0.754925
tournament 3,180,3,100,50,rastrigin,3,0.612286,3.844202,4.012591,2.679591,1.036515
tournament 3,185,2,100,50,rastrigin,3,1.098579,4.083959,4.775289,3.596744,0.904680
tournament 3,185,3,100,50,rastrigin,3,1.524891,4.993273,5.913627,2.266385,0.921135
tournament 3,190,1,100,50,rastrigin,3,0.869072,4.962017,5.837222,2.937078,0.756960
tournament 3,195,1,100,50,rastrigin,3,0.739075,3.921533,5.290952,3.116654,0.758775
tournament 3,190,3,100,50,rastrigin,3,1.246624,4.229093,4.631365,1.964779,0.886020
tournament 3,200,1,100,50,rastrigin,3,1.118361,3.900846,4.764960,3.211754,0.761945
tournament 3,190,2,100,50,rastrigin,3,1.309025,4.874389,6.366994,3.230723,0.980135
tournament 3,195,3,100,50,rastrigin,3,0.593319,4.737897,5.622567,2.597267,0.845680
tournament 3,195,2,100,50,rastrigin,3,0.465397,3.981191,5.137665,3.371079,0.976755
tournament 3,200,2,100,50,rastrigin,3,1.185682,4.392656,5.088014,1.606124,0.988415
tournament 3,200,3,100,50,rastrigin,3,1.141762,4.798683,6.065080,3.139211,1.029720
tournament 5,5,1,100,50,rastrigin,3,1.457035,2.843556,2.990494,1.337509,1.042060
tournament 5,5,2,100,50,rastrigin,3,1.679214,2.508868,2.750724,0.685027,1.036040
tournament 5,10,2,100,50,rastrigin,3,1.273493,3.011533,3.386045,1.458297,0.914160
tournament 5,15,1,100,50,rastrigin,3,1.103943,3.176829,3.639565,1.661654,0.905890
tournament 5,10,1,100,50,rastrigin,3,0.697380,2.407640,2.631072,1.224522,1.073355
tournament 5,5,3,100,50,rastrigin,3,0.677338,2.512444,2.754237,1.297079,1.176085
tournament 5,15,3,100,50,rastrigin,3,1.031582,3.867304,4.305954,1.822351,1.010820
tournament 5,15,2,100,50,rastrigin,3,0.270493,2.701463,3.009099,1.663114,1.113430
tournament 5,20,2,100,50,rastrigin,3,0.915371,3.292223,3.742212,1.904858,0.896205
tournament 5,10,3,100,50,rastrigin,3,1.041836,2.802826,3.301387,1.394204,1.192690
tournament 5,20,3,100,50,rastrigin,3,1.011105,2.904918,3.341088,1.629467,0.948690
tournament 5,20,1,100,50,rastrigin,3,1.020367,3.404106,3.616847,1.624177,1.093735
tournament 5,25,1,100,50,rastrigin,3,0.075628,2.519809,2.826065,2.213316,0.954875
tournament 5,25,3,100,50,rastrigin,3,1.489851,3.885760,4.532093,2.130215,0.944855
tournament 5,25,2,100,50,rastrigin,3,1.224876,3.909349,4.443032,1.632884,1.122085
tournament 5,30,1,100,50,rastrigin,3,1.198074,4.012066,4.581761,2.464961,1.017560
tournament 5,30,2,100,50,rastrigin,3,2.706738,4.052606,4.397264,1.710037,0.952310
tournament 5,40,1,100,50,rastrigin,3,1.974319,4.074871,4.427621,1.921700,0.881200
tournament 5,30,3,100,50,rastrigin,3,0.230240,3.115513,3.509977,1.917595,1.120680
tournament 5,60,3,100,50,rastrigin,3,0.190796,3.245070,4.094375,3.097996,1.141615
tournament 5,45,1,100,50,rastrigin,3,1.089569,3.319964,3.335990,2.315775,0.836140
tournament 5,35,3,100,50,rastrigin,3,1.285255,4.101862,4.779611,2.091082,1.083360
tournament 5,35,2,100,50,rastrigin,3,0.959333,3.721008,4.567438,1.926517,1.160070
tournament 5,40,2,100,50,rastrigin,3,0.794933,3.328067,3.498899,2.668433,1.097620
tournament 5,40,3,100,50,rastrigin,3,1.398254,3.384707,3.688494,2.057087,1.084490
tournament 5,45,3,100,50,rastrigin,3,0.122318,3.690803,4.196732,2.063406,0.937885
tournament 5,50,1,100,50,rastrigin,3,0.996050,4.004920,4.625511,1.948399,0.902185
tournament 5,70,3,100,50,rastrigin,3,1.314920,3.939000,4.803471,2.314056,1.229985
tournament 5,50,3,100,50,rastrigin,3,0.192106,3.855530,5.169960,2.428713,0.987335
tournament 5,60,1,100,50,rastrigin,3,1.129482,3.365529,4.279764,2.124043,0.845935
tournament 5,55,1,100,50,rastrigin,3,2.084610,4.565609,5.620793,2.807575,0.970560
tournament 5,55,2,100,50,rastrigin,3,1.328682,3.684324,4.571258,2.003719,0.915525
tournament 5,50,2,100,50,rastrigin,3,1.110882,3.928231,4.829044,2.540892,1.142010
tournament 5,55,3,100,50,rastrigin,3,1.146210,3.909541,4.153932,2.156415,0.936900
tournament 5,65,1,100,50,rastrigin,3,0.614250,3.254235,4.061172,2.726934,0.853105
tournament 5,60,2,100,50,rastrigin,3,1.194099,4.347248,5.573933,2.680415,1.106705
tournament 5,65,2,100,50,rastrigin,3,0.798763,3.502639,4.176230,2.345103,1.089455
tournament 5,65,3,100,50,rastrigin,3,1.497211,4.357579,5.268970,2.470382,1.133000
tournament 5,70,1,100,50,rastrigin,3,1.005859,3.819695,4.387627,3.045434,1.098270
tournament 5,90,2,100,50,rastrigin,3,0.495497,4.024919,5.008615,2.668215,1.429840
tournament 5,80,1,100,50,rastrigin,3,0.745270,3.798629,4.213034,2.492426,0.832380
tournament 5,75,2,100,50,rastrigin,3,0.022833,3.747936,4.587952,3.308290,0.926205
tournament 5,95,3,100,50,rastrigin,3,0.422943,3.799697,4.277947,3.583654,1.255240
tournament 5,75,1,100,50,rastrigin,3,1.465271,4.267647,4.854833,3.074457,1.043780
tournament 5,45,2,100,50,rastrigin,3,1.322422,3.515176,4.141112,2.368726,1.070790
tournament 5,80,3,100,50,rastrigin,3,1.490124,4.112803,4.796546,2.841946,0.962825
tournament 5,80,2,100,50,rastrigin,3,2.406582,4.560231,5.127468,2.057913,1.058715
tournament 5,85,1,100,50,rastrigin,3,0.547237,2.796791,3.236820,2.444272,0.950275
tournament 5,75,3,100,50,rastrigin,3,1.527679,4.574822,5.057957,2.266698,1.132435
tournament 5,85,2,100,50,rastrigin,3,2.282225,4.353170,4.898368,1.802071,0.865940
