selection,limit,mutation_dims,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
tournament 3,130,1,100,50,rosenbrock,3,0.003267,0.029010,0.033546,0.052495,1.044275
tournament 3,70,1,100,50,rosenbrock,3,0.003090,0.025527,0.032891,0.092221,1.108275
tournament 3,75,1,100,50,rosenbrock,3,0.006404,0.027117,0.032252,0.027682,0.989455
tournament 3,70,3,100,50,rosenbrock,3,0.021239,0.052251,0.062822,0.062753,1.068295
tournament 3,80,2,100,50,rosenbrock,3,0.008048,0.097151,0.117525,0.123520,0.934760
tournament 3,140,1,100,50,rosenbrock,3,0.002236,0.025131,0.027237,0.036525,0.965585
tournament 3,85,1,100,50,rosenbrock,3,0.003190,0.025726,0.030017,0.028197,0.808010
tournament 3,85,2,100,50,rosenbrock,3,0.007969,0.047605,0.055623,0.045532,0.877930
tournament 3,75,2,100,50,rosenbrock,3,0.017293,0.068155,0.073161,0.096054,1.142825
tournament 3,135,3,100,50,rosenbrock,3,0.006621,0.038145,0.054753,0.070906,1.128000
roulette wheel,185,3,100,50,rosenbrock,3,0.001484,0.058073,0.064951,0.095224,2.201900
tournament 3,145,3,100,50,rosenbrock,3,0.003681,0.037416,0.040246,0.039875,0.982695
tournament 3,80,3,100,50,rosenbrock,3,0.004282,0.045800,0.051023,0.076546,1.095045
tournament 3,25,3,100,50,rosenbrock,3,0.027002,0.109186,0.133991,0.116832,1.077785
tournament 3,95,1,100,50,rosenbrock,3,0.006192,0.040991,0.051157,0.104949,0.840155
tournament 3,90,2,100,50,rosenbrock,3,0.000163,0.054307,0.068539,0.051010,1.060840
tournament 3,90,3,100,50,rosenbrock,3,0.003600,0.053119,0.059848,0.065819,1.132095
tournament 3,95,2,100,50,rosenbrock,3,0.009299,0.061087,0.071508,0.089707,1.076850
tournament 3,100,1,100,50,rosenbrock,3,0.002588,0.045623,0.049345,0.071078,1.012025
tournament 3,170,1,100,50,rosenbrock,3,0.003063,0.029606,0.038756,0.029935,0.808205
tournament 3,160,2,100,50,rosenbrock,3,0.005182,0.048846,0.059316,0.059380,1.070035
tournament 3,105,2,100,50,rosenbrock,3,0.000508,0.062573,0.063246,0.108996,0.901330
tournament 3,105,1,100,50,rosenbrock,3,0.001732,0.022849,0.023109,0.042912,0.988630
tournament 3,40,2,100,50,rosenbrock,3,0.027877,0.095640,0.119059,0.050163,1.070890
tournament 3,115,1,100,50,rosenbrock,3,0.002184,0.019654,0.025167,0.045172,0.829180
tournament 3,110,2,100,50,rosenbrock,3,0.002927,0.060745,0.069827,0.114088,0.906765
tournament 3,50,2,100,50,rosenbrock,3,0.024439,0.105487,0.119909,0.148552,1.065325
tournament 3,170,3,100,50,rosenbrock,3,0.000928,0.050753,0.078964,0.080743,1.055305
tournament 3,175,2,100,50,rosenbrock,3,0.012961,0.064017,0.080677,0.059740,1.028160
tournament 3,120,2,100,50,rosenbrock,3,0.001755,0.080783,0.110384,0.123439,0.875200
tournament 3,175,3,100,50,rosenbrock,3,0.003108,0.039267,0.044412,0.034140,1.043040
tournament 3,180,1,100,50,rosenbrock,3,0.001133,0.019311,0.018163,0.025602,0.991240
roulette wheel,145,2,100,50,rosenbrock,3,0.017087,0.060000,0.078076,0.100330,1.090455
tournament 3,125,1,100,50,rosenbrock,3,0.004035,0.021924,0.023085,0.032092,0.992650
tournament 3,135,1,100,50,rosenbrock,3,0.006260,0.029990,0.034105,0.030522,0.908230
tournament 3,100,3,100,50,rosenbrock,3,0.009376,0.041881,0.039314,0.063820,2.033410
tournament 3,10,2,100,50,rosenbrock,3,0.025534,0.466594,0.546788,0.393023,1.095000
tournament 3,130,2,100,50,rosenbrock,3,0.002873,0.070525,0.093030,0.090596,1.061875
tournament 3,185,3,100,50,rosenbrock,3,0.001625,0.069355,0.076853,0.072665,1.107770
tournament 3,130,3,100,50,rosenbrock,3,0.006672,0.049736,0.054421,0.079354,1.112085
tournament 3,140,3,100,50,rosenbrock,3,0.002062,0.068778,0.071209,0.068549,0.878805
