selection,limit,mutation_dims,phi0,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
roulette wheel,100,1,1.606822,75,50,rastrigin,3,0.000004,0.000027,0.000034,0.000041,1.052105
roulette wheel,100,1,1.859271,75,50,rastrigin,3,0.000000,0.000085,0.000089,0.000240,0.962925
roulette wheel,110,1,0.774630,75,50,rastrigin,3,0.000000,0.000026,0.000017,0.000107,0.887680
roulette wheel,110,1,0.500000,75,50,rastrigin,3,0.000000,0.000036,0.000031,0.000238,0.933345
roulette wheel,110,1,0.578555,75,50,rastrigin,3,0.000000,0.000018,0.000010,0.000161,0.968595
roulette wheel,110,1,0.669452,75,50,rastrigin,3,0.000004,0.000040,0.000039,0.000216,0.961340
roulette wheel,90,1,0.720123,75,50,rastrigin,3,0.000000,0.000033,0.000026,0.000072,0.986500
roulette wheel,90,1,1.115658,75,50,rastrigin,3,0.000000,0.000002,0.000002,0.000004,0.913040
roulette wheel,90,1,0.964176,75,50,rastrigin,3,0.000000,0.000005,0.000006,0.000043,0.929340
roulette wheel,90,1,0.833262,75,50,rastrigin,3,0.000002,0.000028,0.000022,0.000339,0.948390
roulette wheel,110,1,0.896332,75,50,rastrigin,3,0.000000,0.000060,0.000065,0.000155,0.893245
roulette wheel,90,1,1.290939,75,50,rastrigin,3,0.000000,0.000005,0.000008,0.000006,1.000975
roulette wheel,110,1,1.037155,75,50,rastrigin,3,0.000000,0.000001,0.000002,0.000009,0.964550
roulette wheel,110,1,1.200103,75,50,rastrigin,3,0.000000,0.000002,0.000002,0.000004,1.032575
roulette wheel,100,1,0.833262,75,50,rastrigin,3,0.000000,0.000018,0.000017,0.000092,1.005030
roulette wheel,90,1,1.728444,75,50,rastrigin,3,0.000000,0.000009,0.000010,0.000154,0.924230
roulette wheel,100,1,0.537845,75,50,rastrigin,3,0.000000,0.000021,0.000017,0.000164,1.136065
roulette wheel,110,1,1.388651,75,50,rastrigin,3,0.000000,0.000009,0.000010,0.000048,0.941670
roulette wheel,100,1,0.720123,75,50,rastrigin,3,0.000002,0.000016,0.000015,0.000028,0.874585
roulette wheel,100,1,0.622346,75,50,rastrigin,3,0.000000,0.000013,0.000008,0.000042,0.982340
roulette wheel,90,1,1.493759,75,50,rastrigin,3,0.000000,0.000008,0.000010,0.000131,0.998820
roulette wheel,90,1,2.000000,75,50,rastrigin,3,0.000004,0.000046,0.000049,0.000314,1.040985
roulette wheel,100,1,0.964176,75,50,rastrigin,3,0.000000,0.000008,0.000011,0.000021,0.963250
roulette wheel,110,1,1.606822,75,50,rastrigin,3,0.000000,0.000021,0.000019,0.000087,1.014285
roulette wheel,100,1,1.115658,75,50,rastrigin,3,0.000000,0.000002,0.000004,0.000011,0.993405
roulette wheel,100,1,1.290939,75,50,rastrigin,3,0.000000,0.000004,0.000003,0.000028,0.964900
