n_leaders,a_factor,c_factor,convergence,population_size,num_iterations,objective,dimensionality,best_value,average_value_top_80,median_value,stddev_value,average_time_ms
3,1.275867,0.907884,linear,150,50,rastrigin,3,0.000000,1.181519,1.989917,2.186074,1.172055
3,1.275867,2.747511,linear,150,50,rastrigin,3,0.000000,0.186554,0.000000,0.580155,1.259610
3,0.559922,3.304387,linear,150,50,rastrigin,3,0.000000,0.932773,0.994957,1.197054,1.240705
3,0.687934,0.433935,linear,150,50,rastrigin,3,0.997498,4.043018,5.017833,3.001408,0.960970
3,1.275867,0.360805,linear,150,50,rastrigin,3,0.994968,2.580481,3.007273,2.813129,1.238500
3,0.687934,1.313208,linear,150,50,rastrigin,3,0.000000,1.430284,1.989916,1.588025,1.314590
3,1.567562,0.360805,linear,150,50,rastrigin,3,0.994961,2.142437,2.048987,2.840731,1.333640
3,0.687934,0.754882,linear,150,50,rastrigin,3,0.000498,2.554471,2.989329,2.041045,1.798910
3,1.275867,4.779626,linear,150,50,rastrigin,3,0.000000,0.000000,0.000000,0.355271,1.435775
3,1.275867,8.314736,linear,150,50,rastrigin,3,0.000000,0.000000,0.000000,0.355271,1.426050
3,1.038450,4.779626,linear,150,50,rastrigin,3,0.000000,0.000000,0.000000,0.355271,0.758250
3,0.559922,5.748380,linear,150,50,rastrigin,3,0.000000,0.435294,0.994957,0.580155,1.871605
3,1.038450,0.300000,linear,150,50,rastrigin,3,0.002617,3.238466,4.042756,3.052385,0.702130
3,1.275867,1.579374,linear,150,50,rastrigin,3,0.000000,0.559663,0.994957,1.277077,2.436860
3,0.559922,1.899487,linear,150,50,rastrigin,3,0.994957,1.435232,1.531285,1.420869,1.670020
3,0.559922,10.000000,linear,150,50,rastrigin,3,0.000000,0.000000,0.000000,0.355271,0.913405
3,0.845213,0.521886,linear,150,50,rastrigin,3,0.994961,3.081492,3.099145,2.865451,0.747070
3,1.038450,2.747511,linear,150,50,rastrigin,3,0.000000,0.435294,0.994957,0.867384,1.158450
3,1.567562,1.091897,linear,150,50,rastrigin,3,0.000000,1.305882,1.989915,1.505644,0.891800
3,1.275867,0.521886,linear,150,50,rastrigin,3,0.994957,2.675049,3.482436,2.915690,1.751505
3,0.687934,3.974133,linear,150,50,rastrigin,3,0.000000,0.435294,0.994957,0.762621,1.002625
3,0.845213,6.913484,linear,150,50,rastrigin,3,0.000000,0.000000,0.000000,0.397983,1.595720
3,1.038450,0.521886,linear,150,50,rastrigin,3,0.000853,3.111184,3.980661,2.515975,1.798680
3,0.845213,0.300000,linear,150,50,rastrigin,3,0.995508,3.924773,4.981448,2.424263,1.021685
3,1.567562,0.627664,linear,150,50,rastrigin,3,0.000000,2.611769,2.487432,2.750118,1.380710
3,0.845213,2.747511,linear,150,50,rastrigin,3,0.000000,0.497478,0.994957,0.694691,0.759560
3,0.845213,4.779626,linear,150,50,rastrigin,3,0.000000,0.186554,0.000000,0.474564,0.918770
3,0.687934,2.284483,linear,150,50,rastrigin,3,0.994957,1.616807,1.989917,2.050551,1.791140
3,0.845213,1.579374,linear,150,50,rastrigin,3,0.000000,1.243986,1.494205,1.438287,1.160595
3,1.038450,1.899487,linear,150,50,rastrigin,3,0.000000,0.808403,0.994957,1.301076,1.020095
3,1.038450,0.907884,linear,150,50,rastrigin,3,0.000000,1.181570,0.995413,1.366911,1.261735
3,1.567562,1.899487,linear,150,50,rastrigin,3,0.000000,0.310924,0.000000,0.494985,1.022620
3,0.845213,0.907884,linear,150,50,rastrigin,3,0.994959,2.435570,1.990018,1.920624,1.120665
3,1.038450,5.748380,linear,150,50,rastrigin,3,0.000000,0.000000,0.000000,0.298487,1.063665
3,1.567562,5.748380,linear,150,50,rastrigin,3,0.000000,0.000000,0.000000,0.216846,1.175980
3,1.567562,0.433935,linear,150,50,rastrigin,3,0.000025,2.870105,3.482406,2.045141,1.182895
3,1.275867,0.433935,linear,150,50,rastrigin,3,0.000008,2.874198,3.488754,3.365026,1.335680
3,1.567562,10.000000,linear,150,50,rastrigin,3,0.000000,0.000000,0.000000,0.355271,1.299075
3,1.275867,3.304387,linear,150,50,rastrigin,3,0.000000,0.124370,0.000000,0.455947,1.576505
3,1.275867,5.748380,linear,150,50,rastrigin,3,0.000000,0.000000,0.000000,0.355271,1.415875
3,0.687934,6.913484,linear,150,50,rastrigin,3,0.000000,0.124370,0.000000,0.455947,2.590595
3,1.275867,1.899487,linear,150,50,rastrigin,3,0.000000,0.684033,0.994957,0.915956,0.737600
3,1.038450,0.360805,linear,150,50,rastrigin,3,0.002451,3.133492,4.979075,2.840308,0.835465
3,1.038450,8.314736,linear,150,50,rastrigin,3,0.000000,0.000000,0.000000,0.298487,2.978290
3,1.275867,10.000000,linear,150,50,rastrigin,3,0.000000,0.000000,0.000000,0.298487,1.890390
3,1.925946,2.284483,linear,150,50,rastrigin,3,0.000000,0.000000,0.000000,0.905083,0.852395
3,1.038450,3.304387,linear,150,50,rastrigin,3,0.000000,0.310924,0.000000,0.588624,0.861485
3,1.925946,1.313208,linear,150,50,rastrigin,3,0.000000,0.497479,0.994957,0.694692,0.993785
3,1.038450,1.091897,linear,150,50,rastrigin,3,0.994957,2.487395,2.487396,2.277559,1.276175
3,1.275867,1.091897,linear,150,50,rastrigin,3,0.000000,0.994958,0.994958,1.352375,2.613240
3,1.925946,3.974133,linear,150,50,rastrigin,3,0.000000,0.000000,0.000000,0.216846,0.914050
3,0.845213,8.314736,linear,150,50,rastrigin,3,0.000000,0.000000,0.000000,0.000000,0.939700
3,1.567562,3.304387,linear,150,50,rastrigin,3,0.000000,0.000000,0.000000,0.298487,2.775980
3,1.275867,6.913484,linear,150,50,rastrigin,3,0.000000,0.000000,0.000000,0.433692,1.061135
3,1.038450,0.627664,linear,150,50,rastrigin,3,0.000000,1.885972,2.000808,3.307627,0.924350
3,1.567562,0.754882,linear,150,50,rastrigin,3,0.000000,1.119641,0.995265,1.672782,0.845785
3,2.366266,0.300000,linear,150,50,rastrigin,3,0.000000,2.876003,3.482353,2.036834,0.767435
3,1.925946,6.913484,linear,150,50,rastrigin,3,0.000000,0.000000,0.000000,0.216846,1.020775
3,1.925946,0.300000,linear,150,50,rastrigin,3,0.994997,3.796886,4.974789,2.846427,1.693450
3,1.925946,0.433935,linear,150,50,rastrigin,3,0.000000,2.301012,2.984876,2.154989,2.534975
3,2.366266,1.579374,linear,150,50,rastrigin,3,0.000000,0.124370,0.000000,0.455947,0.782980
3,2.366266,0.521886,linear,150,50,rastrigin,3,0.000000,1.554622,1.989917,1.600592,0.828040
3,2.366266,2.747511,linear,150,50,rastrigin,3,0.000000,0.000000,0.000000,0.397983,0.859190
3,2.366266,0.907884,linear,150,50,rastrigin,3,0.000000,0.870588,0.994957,0.988720,0.930495
3,1.925946,0.754882,linear,150,50,rastrigin,3,0.000000,1.678991,1.989916,2.277559,0.983490
3,1.567562,2.284483,linear,150,50,rastrigin,3,0.000000,0.248739,0.000000,0.586519,0.924590
3,2.366266,8.314736,linear,150,50,rastrigin,3,0.000000,0.000073,0.000005,0.397966,0.927090
3,2.366266,4.779626,linear,150,50,rastrigin,3,0.000000,0.000000,0.000000,0.397983,1.021080
3,1.275867,3.974133,linear,150,50,rastrigin,3,0.000000,0.000000,0.000000,0.355271,0.854625
3,2.907255,0.360805,linear,150,50,rastrigin,3,0.000000,2.052339,1.990821,1.702412,0.946680
3,1.567562,0.521886,linear,150,50,rastrigin,3,0.994959,3.608860,4.974788,3.011950,1.013170
3,1.567562,1.313208,linear,150,50,rastrigin,3,0.000000,0.746218,0.994957,0.938642,0.978960
3,1.567562,6.913484,linear,150,50,rastrigin,3,0.000000,0.000000,0.000000,0.000000,1.073700
3,1.275867,0.627664,linear,150,50,rastrigin,3,0.000006,2.363057,2.984876,2.639961,0.953645
3,2.907255,0.627664,linear,150,50,rastrigin,3,0.000000,0.994958,0.994957,1.521993,0.895450
3,2.907255,1.899487,linear,150,50,rastrigin,3,0.000000,0.000000,0.000000,0.397983,0.835815
3,1.275867,2.284483,linear,150,50,rastrigin,3,0.000000,0.435294,0.994957,0.762621,0.926075
3,2.907255,1.091897,linear,150,50,rastrigin,3,0.000000,0.435294,0.994957,0.710543,1.145640
3,1.275867,1.313208,linear,150,50,rastrigin,3,0.000000,0.870588,0.994957,1.424562,0.926655
3,1.038450,10.000000,linear,150,50,rastrigin,3,0.000000,0.000000,0.000000,0.298487,1.222685
3,1.925946,1.579374,linear,150,50,rastrigin,3,0.000000,0.497479,0.994957,0.989970,1.080595
3,2.907255,3.304387,linear,150,50,rastrigin,3,0.000000,0.000000,0.000000,0.216846,1.089555
3,2.907255,10.000000,linear,150,50,rastrigin,3,0.000015,0.437051,0.995044,0.581213,1.065750
3,1.567562,0.300000,linear,150,50,rastrigin,3,0.000332,3.255455,4.478484,3.017729,1.399600
